Original Folder Name,New Folder Name
CCCCC(=O)OCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O,136
CCCCC(F)(F)C1(O)CCC2C(CC(=O)C2CCCCCCC(=O)O)O1,137
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,138
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,139
CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,140
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,141
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,142
CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1C2=Cc1ccc(Cl)cc1,143
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,144
CCCCN1CC(O)C(O)C(O)C1CO,145
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,146
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,147
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,148
CCCNC1CCc2nc(N)sc2C1,149
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,150
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,151
CCN(CC)C(=O)N1CCN(C)CC1,152
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,153
CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,154
CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,155
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,156
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,157
CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,158
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,159
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,160
CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,161
CCNC(=O)C1CC(C)CCC1C(C)C,162
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,163
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C=CC(=O)OC(C)(C)C,164
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,165
CCOC(=O)c1cncn1C(C)c1ccccc1,166
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,167
CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,168
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,169
CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,170
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,171
CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,172
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,173
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCCNC3)c21,174
CCn1c(=O)n(C2CCN(CC3CCCCCCC3)CC2CO)c2ccccc21,175
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,176
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,177
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,178
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,179
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,180
CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,181
CN(C)CC1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,182
CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,183
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,184
CN(C)CCC=C1c2ccccc2COc2ccccc21,185
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,186
CN(C)CCCN1c2ccccc2CCc2ccccc21,187
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O,188
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,189
CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,190
CN1CC(=O)NC1=NC(=O)Nc1cccc(Cl)c1,191
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,192
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,193
CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,194
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,195
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,196
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,197
CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,198
CN1N=C(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23,199
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1,200
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,201
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,202
CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,203
